ra,dec,mag,ci
3.736593,-64.806903,3.84,1.133
3.738648,32.288248,3.84,0.022
4.476248,15.962181,3.84,0.952
8.917457,-60.644609,3.84,-0.104
10.546853,9.306586,3.84,-0.148
10.621717,-48.22562,3.84,0.3
12.541134,-72.132988,3.84,-0.157
18.125708,28.762488,3.84,-0.018
18.229392,-21.058834,3.84,0.195
19.80285,70.26793,3.84,0.888
4.233363,-42.294368,3.85,1.085
5.788079,-51.066514,3.85,0.171
6.368564,-33.4364,3.85,0.858
10.245607,-42.121942,3.85,0.051
12.558058,69.788238,3.85,-0.116
12.628394,-48.541304,3.85,0.049
15.940882,15.661617,3.85,0.478
18.394967,21.769752,3.85,1.168
18.586785,-8.244073,3.85,1.317
0.945885,38.499345,3.86,0.13
4.63634,-14.30402,3.86,1.082
5.520209,-35.470519,3.86,1.13
16.257297,-63.685682,3.86,1.105
16.557609,-78.897148,3.86,0.923
17.93755,37.250539,3.86,1.35
22.360938,-1.387331,3.86,-0.057
3.763779,24.367748,3.87,-0.063
8.767124,-46.041527,3.87,0.015
13.977987,-44.803584,3.87,-0.208
14.717673,-5.658207,3.87,0.385
15.948077,-29.214073,3.87,-0.199
19.874547,1.005661,3.87,0.63
0.156836,-45.747426,3.88,1.013
1.89217,19.293852,3.88,-0.047
9.879398,26.006951,3.88,1.222
15.198918,-48.737819,3.88,-0.029
23.17264,-45.246711,3.88,0.998
2.940458,-8.898144,3.89,1.088
6.902209,-24.184211,3.89,1.74
9.239405,2.31428,3.89,-0.06
12.331766,-0.666803,3.89,0.026
19.938438,35.083424,3.89,1.019
9.664267,-1.14281,3.9,1.313
11.350117,-54.491019,3.9,-0.157
13.517405,-39.407307,3.9,1.186
4.052606,5.989305,3.91,0.032
8.427676,-3.906424,3.91,-0.012
12.467331,-50.230635,3.91,-0.192
15.085303,-47.051245,3.91,-0.144
15.592105,-14.789537,3.91,1.007
16.329011,46.313366,3.91,-0.151
17.004827,30.926405,3.92,-0.018
19.361211,-17.847197,3.92,0.228
21.263731,5.247845,3.92,0.549
0.436716,-43.679829,3.93,0.175
1.520851,-49.072702,3.93,0.972
2.904295,52.762479,3.93,0.758
4.605317,-3.352459,3.93,-0.21
7.697004,-72.606098,3.93,1.033
11.143165,-58.975037,3.93,1.225
16.113452,-20.669192,3.93,-0.046
18.010754,2.931568,3.93,0.029
1.139742,-55.24576,3.94,-0.12
7.687454,-9.551131,3.94,1.022
7.73013,-28.954826,3.94,0.16
8.74475,18.154309,3.94,1.083
20.952893,41.167136,3.94,0.027
2.057268,72.421294,3.95,-0.002
6.611399,-19.255879,3.95,1.037
13.398996,54.920471,3.95,0.13
4.144357,47.712513,3.96,-0.025
5.985778,-42.815135,3.96,1.146
9.010685,41.782911,3.96,0.463
9.187985,-62.316977,3.96,-0.18
19.377303,-44.458965,3.96,-0.085
19.398103,-40.61594,3.96,-0.105
20.257867,47.714208,3.96,1.451
23.382842,-20.10058,3.96,1.082
4.400613,-34.016846,3.97,1.468
5.858166,39.14848,3.97,1.132
7.280508,-67.957152,3.97,0.76
8.668373,-35.308352,3.97,0.936
12.194202,-52.36846,3.97,-0.156
15.849316,-33.627165,3.97,-0.045
20.009845,-72.910504,3.97,-0.032
22.487825,-43.495565,3.97,1.022
22.775521,23.565654,3.97,1.07
3.98275,35.791033,3.98,0.016
21.56635,45.591837,3.98,0.885
2.000084,-21.077831,3.99,1.554
6.247592,-6.274776,3.99,1.319
10.406592,-74.031612,3.99,0.369
13.420413,54.987958,3.99,0.169
23.290498,-58.235734,3.99,0.41
9.040777,-66.396076,4,0.145
11.398736,10.529509,4,0.423
16.199926,-19.460708,4,0.076
1.727675,50.688732,4.01,-0.098
4.758375,-3.254657,4.01,-0.148
7.068481,20.570297,4.01,0.899
7.246849,-26.772667,4.01,-0.15
14.699332,-37.793498,4.01,-0.157
16.031532,58.565251,4.01,0.528
16.330687,-50.155508,4.01,1.08
18.71726,-71.428113,4.01,1.134
20.489926,30.368555,4.01,0.404
8.842204,-27.709844,4.02,1.272
12.140225,-24.728875,4.02,0.334
18.993711,15.068298,4.02,1.082
19.028008,-5.739115,4.02,1.079
2.288573,33.847194,4.03,0.019
5.05697,60.442245,4.03,0.921
8.778284,28.759898,4.03,1.007
12.9099,-57.177924,4.03,-0.18
18.090913,2.500099,4.03,0.86
20.553547,11.303263,4.03,-0.123
23.988525,6.863321,4.03,0.419
4.197761,-6.837581,4.04,0.327
11.764322,6.529376,4.04,1.501
14.419967,51.850744,4.04,0.497
22.589272,-0.117498,4.04,-0.083
3.151005,49.613278,4.05,0.595
8.308703,-76.919722,4.05,0.413
8.739987,-42.649276,4.05,0.874
11.352276,6.029322,4.05,-0.058
13.824623,15.797905,4.05,1.52
14.342623,-37.885295,4.05,-0.03
14.631454,-49.425828,4.05,-0.152
22.826528,-13.592632,4.05,1.57
4.939521,13.514466,4.06,1.158
7.598708,26.895741,4.06,1.54
11.414702,-17.68401,4.06,0.216
12.292917,-67.960736,4.06,1.603
12.307298,-64.003071,4.06,-0.168
14.727624,-35.173655,4.06,1.356
16.993069,-53.160438,4.06,1.452
14.266908,-6.000547,4.07,0.511
15.147394,-45.279857,4.07,-0.162
15.291917,-58.801208,4.07,0.088
22.486183,58.415198,4.07,0.778
0.788981,24.267178,4.08,1.1
2.362498,-68.659418,4.08,0.034
2.658044,0.328511,4.08,-0.212
3.039863,-23.624472,4.08,0.163
6.903167,-12.038628,4.08,1.418
9.574071,-59.229753,4.08,-0.013
10.996244,-18.298783,4.08,1.079
18.922249,43.946088,4.08,1.397
21.099118,-17.232861,4.08,-0.01
21.36811,19.804508,4.08,1.108
5.615108,9.290673,4.09,0.951
15.812327,18.141564,4.09,1.616
1.613299,41.405459,4.1,0.536
2.736634,49.228448,4.1,0.514
7.820638,-46.373205,4.1,-0.16
18.480505,-49.070588,4.1,0.995
19.167154,-39.340796,4.1,1.163
2.677781,-39.855375,4.11,1.006
7.062637,-15.633286,4.11,-0.112
8.627399,-42.989081,4.11,0.109
9.85797,-14.846603,4.11,0.918
10.591166,-78.607786,4.11,1.58
11.775232,-61.178398,4.11,0.895
15.612,-66.317037,4.11,1.161
19.157869,-37.904474,4.11,0.042
23.014677,-52.754137,4.11,0.96
2.659799,-68.266946,4.12,-0.061
4.248295,48.409331,4.12,0.935
6.039722,9.647276,4.12,0.17
12.086817,8.732985,4.12,0.967
19.921026,-41.868288,4.12,1.063
20.863692,-26.919133,4.12,1.633
22.495955,-43.749224,4.12,1.57
