num,name,epoch,a,e,inc,w,omega,m,H,G,info,wiki,wikipic
137,Meliboea,59000,3.1246499,0.21189602,13.42814,107.36498,202.21394,110.5290692,8.1,0.15,,,
138,Tolosa,59000,2.4494896,0.16286181,3.2025,260.51412,54.74619,348.6774362,8.8,0.15,,,
139,Juewa,59000,2.781681,0.17455397,10.90937,165.60827,1.81739,357.6701106,8,0.15,,,
140,Siwa,59000,2.734695,0.2141401,3.18554,196.8153,107.17773,145.7487005,8.4,0.15,,,
141,Lumen,59000,2.6652844,0.21459747,11.89758,57.83802,318.48539,249.9976521,8.5,0.15,,,
142,Polana,59000,2.4179342,0.13507453,2.23954,291.83289,291.22039,147.9924832,10.3,0.15,,,thumb/5/5c/Polana-Mars2013.gif/240px-Polana-Mars2013.gif
143,Adria,59000,2.7605019,0.07415143,11.44438,252.34116,332.98055,167.1293038,9.1,0.15,,,
144,Vibilia,59000,2.6554014,0.23474579,4.81405,294.60896,76.19487,98.465674,8.1,0.17,,,
145,Adeona,59000,2.674245,0.14524885,12.62307,44.90979,77.3808,188.2737382,8.2,0.15,,,
146,Lucina,59000,2.7173252,0.06704083,13.10118,145.73342,83.94541,147.2778361,8.4,0.11,,,thumb/b/b6/146Lucina_%28Lightcurve_Inversion%29.png/250px-146Lucina_%28Lightcurve_Inversion%29.png
147,Protogeneia,59000,3.1358535,0.02368395,1.93327,100.53534,248.26558,341.2733662,8.7,0.15,,,thumb/d/df/147Protogeneia_%28Lightcurve_Inversion%29.png/250px-147Protogeneia_%28Lightcurve_Inversion%29.png
148,Gallia,59000,2.7715263,0.18722539,25.29192,252.71957,145.00084,89.54911,7.6,0.15,,,
149,Medusa,59000,2.1744836,0.06492266,0.9395,251.29959,159.60237,350.2194412,10.5,0.15,,,thumb/b/bb/149Medusa_%28Lightcurve_Inversion%29.png/265px-149Medusa_%28Lightcurve_Inversion%29.png
150,Nuwa,59000,2.9837959,0.12335161,2.2011,153.48936,206.14473,43.7486516,8.5,0.15,,,
151,Abundantia,59000,2.5937875,0.03381902,6.43,133.28945,38.82873,110.1493198,9.2,0.15,,,
152,Atala,59000,3.1377314,0.08097621,12.12401,59.20473,39.89974,301.1638156,8.3,0.15,,,thumb/5/5c/152Atala_%28Lightcurve_Inversion%29.png/265px-152Atala_%28Lightcurve_Inversion%29.png
153,Hilda,59000,3.9790013,0.14028338,7.82473,39.05005,228.13189,224.9811882,7.6,0.15,,,thumb/f/f8/Hilda-LB1-mag14.jpg/240px-Hilda-LB1-mag14.jpg
154,Bertha,59000,3.1950941,0.07673549,20.97364,160.49683,36.72606,5.6552927,7.7,0.15,,,
155,Scylla,59000,2.7595682,0.27578074,11.3706,46.06285,40.95338,175.0298815,11.2,0.15,,,
156,Xanthippe,59000,2.7280191,0.22680907,9.78059,338.31255,241.83265,209.2866566,8.7,0.15,,,
157,Dejanira,59000,2.5797412,0.19729981,12.16186,46.50334,62.04383,284.574689,11.2,0.15,,,thumb/e/e1/157Dejanira_%28Lightcurve_Inversion%29.png/265px-157Dejanira_%28Lightcurve_Inversion%29.png
158,Koronis,59000,2.8677912,0.05207513,1.00567,146.40814,277.70333,295.2741498,9.2,0.15,,,thumb/7/76/158Koronis_%28Lightcurve_Inversion%29.png/265px-158Koronis_%28Lightcurve_Inversion%29.png
159,Aemilia,59000,3.1021324,0.10672316,6.13108,333.19592,134.1158,106.6369063,8.3,0.15,,,
160,Una,59000,2.7272773,0.06703783,3.82413,52.13552,8.58625,91.5573811,9.1,0.15,,,thumb/2/27/160Una_%28Lightcurve_Inversion%29.png/265px-160Una_%28Lightcurve_Inversion%29.png
161,Athor,59000,2.3796118,0.13755913,9.05706,294.67809,18.56556,5.096503,9.1,0.13,,,thumb/3/35/161Athor_%28Lightcurve_Inversion%29.png/265px-161Athor_%28Lightcurve_Inversion%29.png
162,Laurentia,59000,3.0145358,0.18151582,6.09183,115.91721,35.45555,203.6345572,8.9,0.15,,,thumb/d/db/162Laurentia_%28Lightcurve_Inversion%29.png/265px-162Laurentia_%28Lightcurve_Inversion%29.png
163,Erigone,59000,2.3662369,0.19194851,4.8159,298.74561,160.04714,298.4248427,9.7,-0.04,,,
164,Eva,59000,2.6314459,0.34679237,24.47378,284.02965,76.8145,182.5899793,8.8,0.15,,,
165,Loreley,59000,3.1272553,0.08544987,11.23775,345.67593,302.4484,17.2212427,7.8,0.15,,,thumb/3/32/165Loreley_%28Lightcurve_Inversion%29.png/265px-165Loreley_%28Lightcurve_Inversion%29.png
166,Rhodope,59000,2.6842021,0.21188794,12.02987,264.32279,128.91573,188.8844344,9.9,0.15,,,thumb/5/52/166Rhodope_%28Lightcurve_Inversion%29.png/265px-166Rhodope_%28Lightcurve_Inversion%29.png
167,Urda,59000,2.8544079,0.03780603,2.21239,131.97396,166.18908,324.9937882,9.2,0.15,,,thumb/b/bf/167Urda_%28Lightcurve_Inversion%29.png/265px-167Urda_%28Lightcurve_Inversion%29.png
168,Sibylla,59000,3.3738612,0.07406998,4.66932,175.36612,205.96002,32.6846609,8.1,0.15,,,
169,Zelia,59000,2.3577383,0.13114707,5.50008,334.99782,354.74958,270.6120326,9.5,0.15,,,
170,Maria,59000,2.5532876,0.06349547,14.3788,158.26818,301.29665,67.2021358,9.4,0.15,,,thumb/4/4d/Asteroid-maria.jpg/255px-Asteroid-maria.jpg
171,Ophelia,59000,3.1301174,0.13204739,2.54675,55.98165,100.47676,261.2654577,8.6,0.15,,,
172,Baucis,59000,2.3796924,0.11432402,10.02032,359.71204,331.91677,190.7777097,8.7,0.15,,,
173,Ino,59000,2.7429151,0.20892239,14.19806,228.83281,148.16819,120.8690793,8,0.01,,,
174,Phaedra,59000,2.8619166,0.14116142,12.12325,289.50675,327.65703,255.290808,8.3,0.15,,,thumb/b/b8/174Phaedra_%28Lightcurve_Inversion%29.png/265px-174Phaedra_%28Lightcurve_Inversion%29.png
175,Andromache,59000,3.183538,0.23324198,3.21851,320.14601,21.33502,278.9672841,8.4,0.15,,,
